t,ax,ay,az
6.376553058624268,-0.0949,-0.0397,0.1307
6.385874032974243,-0.1049,-0.0637,0.086
6.394155979156494,-0.0549,-0.0155,-0.0607
6.406181812286377,-0.014,-0.0081,-0.1955
6.414650917053223,0.0537,0.0115,-0.3271
6.42636513710022,0.1214,0.0717,-0.4587
6.435090065002441,0.1525,0.1672,-0.6091
6.4466681480407715,0.2073,0.2408,-0.7363
6.455603837966919,0.1825,0.2476,-0.7947
6.466719627380371,0.2239,0.2975,-0.798
6.476219177246094,0.22,0.3475,-0.6689
6.484256744384766,0.1813,0.2443,-0.6193
6.496269941329956,0.0752,0.1522,-0.5286
6.504823207855225,-0.0132,-0.1539,-0.2496
6.516507148742676,-0.1632,-0.1848,0.2595
6.525798082351685,-0.304,-0.2812,0.6974
6.536693572998047,-0.3746,-0.2719,0.9368
6.545780658721924,-0.3412,-0.2822,1.0646
6.556613445281982,-0.2918,-0.3113,1.0312
6.566878080368042,-0.3317,-0.2547,0.8439
6.574272394180298,-0.3087,-0.2402,0.7619
6.586771011352539,-0.2918,-0.2566,0.7003
6.594777822494507,-0.2578,-0.0945,0.4581
6.606693267822266,-0.2217,-0.0541,0.2661
6.6154985427856445,-0.1235,-0.043,0.1022
6.626759052276611,-0.0195,0.0125,-0.1166
6.635939598083496,0.0673,0.0834,-0.3201
6.644001245498657,0.1225,0.1285,-0.4813
6.656221151351929,0.1857,0.1725,-0.5876
6.664569139480591,0.2402,0.2263,-0.6545
6.676364898681641,0.2593,0.2382,-0.6636
6.685030937194824,0.252,0.2394,-0.7537
6.696550130844116,0.2137,0.2254,-0.7708
6.705350875854492,0.2991,0.2455,-0.5712
6.716801881790161,0.2246,0.1841,-0.5157
6.7260072231292725,0.1932,0.081,-0.5621
6.734186172485352,0.1589,-0.0063,-0.332
6.74617338180542,0.0458,-0.0595,0.0241
6.754606008529663,-0.0194,-0.0198,0.3107
6.76648211479187,-0.248,-0.1724,0.627
6.7750842571258545,-0.2995,-0.2422,0.837
6.7874596118927,-0.3148,-0.2853,0.9573
6.795588731765747,-0.3116,-0.2615,0.9236
6.806889533996582,-0.266,-0.1831,0.7538
6.8160154819488525,-0.2802,-0.2165,0.7073
6.8243021965026855,-0.2495,-0.1524,0.504
6.836401700973511,-0.2249,-0.0463,0.2351
6.84473180770874,-0.2053,-0.0118,0.1769
6.856602430343628,-0.1066,-0.0126,-0.0208
6.865272760391235,-0.0154,0.048,-0.0942
6.8767359256744385,0.076,0.0693,-0.2308
6.885615825653076,0.1153,0.1246,-0.4202
6.896980285644531,0.1642,0.1507,-0.543
6.906142234802246,0.2189,0.1923,-0.5914
6.9143452644348145,0.2411,0.2323,-0.7178
6.9267191886901855,0.218,0.243,-0.8023
6.934859991073608,0.2735,0.2365,-0.7493
6.946611642837524,0.2278,0.2007,-0.5707
6.955199718475342,0.1598,0.1408,-0.6082
6.966808319091797,0.083,0.0408,-0.439
6.975790023803711,-0.0123,-0.1241,-0.1204
6.98705267906189,-0.0555,-0.1141,0.345
6.996212720870972,-0.2494,-0.242,0.7603
7.004467487335205,-0.2841,-0.2713,1.0383
7.016343832015991,-0.3071,-0.2781,1.1336
7.024873495101929,-0.2709,-0.2319,0.9686
7.0366833209991455,-0.2748,-0.2094,0.7307
7.045507907867432,-0.2924,-0.2111,0.5682
7.056902170181274,-0.2798,-0.1373,0.39
7.065770864486694,-0.2278,-0.0495,0.126
7.077128648757935,-0.1252,-0.0081,-0.0132
7.087268829345703,0.0082,0.0314,-0.1195
7.094580888748169,0.0981,0.0644,-0.3242
7.1070122718811035,0.1859,0.1631,-0.5061
7.115054607391357,0.2178,0.1757,-0.6359
7.126774549484253,0.265,0.2191,-0.7247
7.135473966598511,0.2721,0.2102,-0.7828
7.147007465362549,0.2736,0.196,-0.7747
7.15601372718811,0.3339,0.1937,-0.7016
7.164163589477539,0.2534,0.0962,-0.6202
7.176369667053223,0.1929,0.0444,-0.5511
7.184645652770996,0.1239,0.0157,-0.3555
7.1965906620025635,0.0135,-0.0226,-0.0121
7.2052507400512695,-0.1652,-0.1281,0.415
7.216807126998901,-0.2251,-0.2085,0.6979
7.225707769393921,-0.2613,-0.2539,0.8683
7.236974239349365,-0.3061,-0.3134,1.048
7.246137619018555,-0.2802,-0.2643,0.9544
7.254401683807373,-0.2934,-0.213,0.7178
7.266698598861694,-0.2349,-0.229,0.6335
7.27482533454895,-0.2776,-0.1625,0.3721
7.2869744300842285,-0.1695,-0.0418,0.1534
7.295277118682861,-0.1257,-0.0234,0.0165
7.306999921798706,-0.035,-0.004,-0.1048
7.315754652023315,0.0466,0.0071,-0.282
7.327101230621338,0.1168,0.1008,-0.4237
7.337224006652832,0.1594,0.1467,-0.5203
7.34443736076355,0.2222,0.2216,-0.6024
7.356513977050781,0.2511,0.2547,-0.6856
7.364826679229736,0.2779,0.249,-0.7764
7.3768322467803955,0.2349,0.222,-0.7617
7.385390758514404,0.3009,0.2703,-0.6863
7.396965980529785,0.2599,0.178,-0.5828
7.405782699584961,0.2657,0.1039,-0.5377
7.41710901260376,0.1691,0.0993,-0.3887
7.426300048828125,0.1552,0.0825,-0.0044
7.434593200683594,-0.1769,-0.0901,0.5029
7.446799993515015,-0.1838,-0.132,0.8182
7.455013990402222,-0.2456,-0.186,0.9771
7.466850757598877,-0.2798,-0.2841,0.9859
7.475481748580933,-0.2607,-0.2753,0.9152
7.486934661865234,-0.2629,-0.2001,0.6964
7.495988368988037,-0.2825,-0.1982,0.6332
7.507248878479004,-0.2838,-0.0994,0.4744
7.51637601852417,-0.233,-0.0302,0.2335
7.524500846862793,-0.1655,-0.0217,0.1421
7.536712408065796,-0.0668,0.0286,-0.0653
