time_s,error_hz
12381.89,10.0
12384.437,10.0
12386.281,10.0
12388.796,3.359375
12393.328,4.140625
12394.796,4.140625
12396.484,10.0
12399.187,4.53125
12401.64,9.609375
12405.937,10.0
12408.421,3.75
12409.359,3.75
12413.406,10.0
12415.406,10.0
12417.109,5.703125
12419.765,8.046875
12422.593,8.046875
12426.046,7.265625
12429.781,10.0
12433.437,10.0
12436.328,10.0
12439.343,10.0
12442.312,10.0
12445.078,10.0
12447.671,10.0
12448.953,10.0
12449.703,10.0
12451.625,10.0
12454.187,10.0
12457.453,10.0
12459.406,4.53125
12462.265,10.0
