t,msg_type,payload
1773704294.3222458,ReferenceFreqMsg,"{'t': 1773704294.3222458, 'f_ref': 7.5}"
1773704294.324981,ReferenceFreqMsg,"{'t': 1773704294.324981, 'f_ref': 7.5}"
1773704294.32778,ReferenceFreqMsg,"{'t': 1773704294.32778, 'f_ref': 7.5}"
1773704294.3291197,ReferenceFreqMsg,"{'t': 1773704294.3291197, 'f_ref': 7.5}"
1773704294.3334866,ReferenceFreqMsg,"{'t': 1773704294.3334866, 'f_ref': 7.5}"
1773704294.3353198,ReferenceFreqMsg,"{'t': 1773704294.3353198, 'f_ref': 7.5}"
1773704294.3379178,ReferenceFreqMsg,"{'t': 1773704294.3379178, 'f_ref': 7.5}"
1773704294.3393655,ReferenceFreqMsg,"{'t': 1773704294.3393655, 'f_ref': 7.5}"
1773704294.341322,ReferenceFreqMsg,"{'t': 1773704294.341322, 'f_ref': 7.5}"
1773704294.3430586,ReferenceFreqMsg,"{'t': 1773704294.3430586, 'f_ref': 7.5}"
1773704294.344768,ReferenceFreqMsg,"{'t': 1773704294.344768, 'f_ref': 7.5}"
1773704294.3461292,ReferenceFreqMsg,"{'t': 1773704294.3461292, 'f_ref': 7.5}"
1773704294.347677,ReferenceFreqMsg,"{'t': 1773704294.347677, 'f_ref': 7.5}"
1773704294.3493962,ReferenceFreqMsg,"{'t': 1773704294.3493962, 'f_ref': 7.5}"
1773704294.3510427,ReferenceFreqMsg,"{'t': 1773704294.3510427, 'f_ref': 7.5}"
1773704294.3523703,ReferenceFreqMsg,"{'t': 1773704294.3523703, 'f_ref': 7.5}"
1773704294.353846,ReferenceFreqMsg,"{'t': 1773704294.353846, 'f_ref': 7.5}"
1773704294.355798,ReferenceFreqMsg,"{'t': 1773704294.355798, 'f_ref': 7.5}"
1773704294.3590405,ReferenceFreqMsg,"{'t': 1773704294.3590405, 'f_ref': 7.5}"
1773704294.3605344,ReferenceFreqMsg,"{'t': 1773704294.3605344, 'f_ref': 7.5}"
1773704294.362226,ReferenceFreqMsg,"{'t': 1773704294.362226, 'f_ref': 7.5}"
1773704294.3637753,ReferenceFreqMsg,"{'t': 1773704294.3637753, 'f_ref': 7.5}"
1773704294.365541,ReferenceFreqMsg,"{'t': 1773704294.365541, 'f_ref': 7.5}"
1773704294.3670359,ReferenceFreqMsg,"{'t': 1773704294.3670359, 'f_ref': 7.5}"
1773704294.368583,ReferenceFreqMsg,"{'t': 1773704294.368583, 'f_ref': 7.5}"
1773704294.3700936,ReferenceFreqMsg,"{'t': 1773704294.3700936, 'f_ref': 7.5}"
1773704294.3717573,ReferenceFreqMsg,"{'t': 1773704294.3717573, 'f_ref': 7.5}"
1773704294.3734992,ReferenceFreqMsg,"{'t': 1773704294.3734992, 'f_ref': 7.5}"
1773704294.3755,ReferenceFreqMsg,"{'t': 1773704294.3755, 'f_ref': 7.5}"
1773704294.3770754,ReferenceFreqMsg,"{'t': 1773704294.3770754, 'f_ref': 7.5}"
1773704294.3791468,ReferenceFreqMsg,"{'t': 1773704294.3791468, 'f_ref': 7.5}"
1773704294.3807824,ReferenceFreqMsg,"{'t': 1773704294.3807824, 'f_ref': 7.5}"
1773704294.382543,ReferenceFreqMsg,"{'t': 1773704294.382543, 'f_ref': 7.5}"
1773704294.3841279,ReferenceFreqMsg,"{'t': 1773704294.3841279, 'f_ref': 7.5}"
1773704294.3859184,ReferenceFreqMsg,"{'t': 1773704294.3859184, 'f_ref': 7.5}"
1773704294.3875875,ReferenceFreqMsg,"{'t': 1773704294.3875875, 'f_ref': 7.5}"
1773704294.3903968,ReferenceFreqMsg,"{'t': 1773704294.3903968, 'f_ref': 7.5}"
1773704294.3930676,ReferenceFreqMsg,"{'t': 1773704294.3930676, 'f_ref': 7.5}"
1773704294.3946755,ReferenceFreqMsg,"{'t': 1773704294.3946755, 'f_ref': 7.5}"
1773704294.3962233,ReferenceFreqMsg,"{'t': 1773704294.3962233, 'f_ref': 7.5}"
1773704294.397849,ReferenceFreqMsg,"{'t': 1773704294.397849, 'f_ref': 7.5}"
1773704294.3993986,ReferenceFreqMsg,"{'t': 1773704294.3993986, 'f_ref': 7.5}"
1773704294.4009218,ReferenceFreqMsg,"{'t': 1773704294.4009218, 'f_ref': 7.5}"
1773704294.4025064,ReferenceFreqMsg,"{'t': 1773704294.4025064, 'f_ref': 7.5}"
1773704294.4040189,ReferenceFreqMsg,"{'t': 1773704294.4040189, 'f_ref': 7.5}"
1773704294.406787,ReferenceFreqMsg,"{'t': 1773704294.406787, 'f_ref': 7.5}"
1773704294.4093258,ReferenceFreqMsg,"{'t': 1773704294.4093258, 'f_ref': 7.5}"
1773704294.4107695,ReferenceFreqMsg,"{'t': 1773704294.4107695, 'f_ref': 7.5}"
